date,open,high,low,close,volume,mcap
5/15/2019,7989.37,8216.42,7899.11,8205.17,28344112919.57,145254332460.48
5/16/2019,8194.50,8320.82,7729.61,7884.91,33167197581.02,139599559277.84
5/17/2019,7886.93,7929.15,7038.12,7343.90,30066644905.13,130034777632.55
5/18/2019,7341.66,7447.27,7251.50,7271.21,21354286561.99,128761727083.30
5/19/2019,7267.96,8261.94,7267.96,8197.69,25902422039.65,145185076704.97
5/20/2019,8196.92,8200.97,7678.78,7978.31,23843404339.51,141315695727.58
5/21/2019,7977.97,8062.17,7843.34,7963.33,25127245056.40,141065573610.27
5/22/2019,7956.29,7997.61,7615.99,7680.07,24719473174.97,136063898960.26
5/23/2019,7677.27,7943.79,7533.20,7881.85,24457107820.10,139654107034.59
5/24/2019,7881.70,8140.72,7824.45,7987.37,25919126990.99,141539115575.01
5/25/2019,7991.89,8117.93,7965.98,8052.54,22256813106.57,142708188838.42
5/26/2019,8055.21,8687.52,7924.67,8673.22,26677970091.50,153725486067.29
5/27/2019,8674.07,8907.17,8668.70,8805.78,27949839563.94,156093754762.01
5/28/2019,8802.76,8807.02,8634.72,8719.96,24226919266.66,154590202287.42
5/29/2019,8718.59,8755.85,8482.73,8659.49,23473479966.11,153537047654.92
5/30/2019,8661.76,9008.31,8221.27,8319.47,29246528551.20,147525141134.06
5/31/2019,8320.29,8586.66,8172.55,8574.50,25365190957.39,152059886413.55
6/1/2019,8573.84,8625.60,8481.58,8564.02,22488303543.95,151890214309.93
6/2/2019,8565.47,8809.30,8561.24,8742.96,20266216022.16,155077231351.23
6/3/2019,8741.75,8743.50,8204.19,8208.99,22004511436.01,145619047341.18
6/4/2019,8210.99,8210.99,7564.49,7707.77,24609731548.79,136742790468.57
6/5/2019,7704.34,7901.85,7668.67,7824.23,21760923463.03,138824651666.41
6/6/2019,7819.63,7937.34,7571.47,7822.02,19474611077.37,138800725479.33
6/7/2019,7826.90,8126.15,7788.37,8043.95,19141423230.79,142754693587.60
6/8/2019,8036.77,8076.89,7837.61,7954.13,16522722809.91,141172841635.46
6/9/2019,7949.67,7975.97,7583.22,7688.08,16610726547.05,136465098533.16
6/10/2019,7692.28,8031.91,7586.73,8000.33,18689275117.47,142023351079.40
6/11/2019,8004.24,8026.39,7772.80,7927.71,17107279931.99,140748537529.85
6/12/2019,7925.43,8196.65,7862.36,8145.86,19034432883.38,144634684710.85
6/13/2019,8145.55,8311.57,8087.06,8230.92,18669407147.43,146160317148.20
6/14/2019,8230.90,8710.64,8183.39,8693.83,19831162905.97,154398880249.08
6/15/2019,8689.75,8859.13,8618.40,8838.38,18371033226.45,156982138834.69
6/16/2019,8841.44,9335.87,8814.56,8994.49,23348550310.97,159769423369.73
6/17/2019,8988.92,9416.41,8988.92,9320.35,15562951918.83,165573372261.22
6/18/2019,9335.47,9348.37,9004.90,9081.76,15848210535.50,161353637185.78
6/19/2019,9078.73,9299.62,9070.40,9273.52,15546809946.03,164780855868.72
6/20/2019,9273.06,9594.42,9232.48,9527.16,17846823783.90,169304784791.18
6/21/2019,9525.07,10144.56,9525.07,10144.56,20624008643.44,180293241528.34
6/22/2019,10175.92,11157.35,10107.04,10701.69,29995204860.64,190214124823.56
6/23/2019,10696.69,11246.14,10556.10,10855.37,20998326501.96,192970090354.72
6/24/2019,10853.74,11065.90,10610.43,11011.10,19271652364.85,195762668679.25
6/25/2019,11007.20,11790.92,11007.20,11790.92,24879684533.05,209647943360.18
6/26/2019,11778.58,13796.49,11755.60,13016.23,45105733173.19,231462117208.62
